s0	s1	s2	s3	time	init_s0	init_s1	init_s2	init_s3	init_p0
40.0	42.0	0.0	3.3	0.0	40.0	42.0	0.0	3.3	0.0002
34.595	37.9	3.625	4.75	1.0					
31.035	34.9	6.4	6.13	2.0					
27.01	32.805	8.5	7.52	3.0					
21.225	29.17	11.1	11.1	5.0					
10.1	24.5	15.645	17.315	10.0					
5.9	23.0	16.5	20.5	15.0					
3.33	22.595	16.345	22.605	20.0					
1.695	23.09	15.81	24.925	25.0					
0.84	24.8	15.255	26.5	30.0					
