s0	s1	s2	s3	time	init_s0	init_s1	init_s2	init_s3
20.0	42.0	0.0	1.5	0.0	20.0	42.0	0.0	1.5
15.34	38.405	3.42	2.815	1.0				
12.075	36.06	5.52	4.105	2.0				
9.335	34.06	6.99	5.085	3.0				
5.515	31.46	8.78	6.69	5.0				
1.46	29.595	9.875	9.535	10.0				
0.35	30.615	9.44	11.49	15.0				
0.0	31.83	8.515	13.08	20.0				
0.0	32.985	7.47	14.505	25.0				
0.0	34.08	6.695	15.63	30.0				
