s0	s1	s2	s3	time	init_s0	init_s1	init_s2	init_s3	init_p0
76.0	40.0	0.0	5.7	0.0	76.0	40.0	0.0	5.7	0.0002
73.36	38.51	3.04	7.21	1.0					
69.3	36.175	5.195	8.735	2.0					
65.6	34.09	7.28	10.4	3.0					
60.2	31.025	10.295	13.49	5.0					
46.9	25.965	15.76	20.83	10.0					
38.03	22.94	18.74	26.8	15.0					
30.4	20.805	20.755	32.53	20.0					
24.655	19.445	21.89	36.77	25.0					
19.7	18.36	22.875	41.13	30.0					
