s0	s1	s2	s3	time	init_s0	init_s1	init_s2	init_s3	init_p0
20.0	20.0	0.0	1.3	0.0	20.0	20.0	0.0	1.3	0.0002
16.5	18.58	3.205	2.955	1.0					
12.67	16.255	5.09	4.615	2.0					
9.915	14.82	6.385	6.175	3.0					
5.91	13.14	7.855	8.8	5.0					
1.32	12.625	8.225	13.25	10.0					
0.0	14.2	7.17	16.055	15.0					
0.0	15.445	5.63	17.62	20.0					
0.0	17.02	4.1	19.34	25.0					
0.0	18.5	2.0	20.8	30.0					
