s0	s1	s2	s3	time	init_s0	init_s1	init_s2	init_s3	init_p0
20.0	60.0	0.0	1.9	0.0	20.0	60.0	0.0	1.9	0.0002
15.345	56.8	3.77	2.94	1.0					
11.64	53.58	6.11	3.99	2.0					
8.975	51.6	7.74	4.935	3.0					
5.265	48.265	9.595	6.305	5.0					
1.455	47.6	11.325	8.87	10.0					
0.385	48.185	11.065	10.61	15.0					
0.0	49.0	10.2	12.0	20.0					
0.0	50.76	9.66	13.075	25.0					
0.0	52.505	9.005	14.24	30.0					
