s0	s1	s2	s3	time	init_s0	init_s1	init_s2	init_s3
20.0	10.0	0.0	2.0	0.0	20.0	10.0	0.0	2.0
16.385	8.72	2.66	3.705	1.0				
12.45	7.025	3.885	5.77	2.0				
9.255	5.94	4.815	8.035	3.0				
5.135	5.18	5.755	11.965	5.0				
0.645	5.815	4.9	17.28	10.0				
0.0	7.57	3.24	19.93	15.0				
0.0	8.945	1.915	21.36	20.0				
0.0	9.87	1.075	22.55	25.0				
0.0	10.575	0.575	23.38	30.0				
